Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"21318-1","Ideas","",2019,"Tree House",4,3036,214.99,249.99,309.99,249.99,5702016554205,673419313827,58,47.5,12,3.8,"",0,0,0,,0,0,,,,,,,,,188.2800,141.2100,"01/08/2019","31/12/2025"
"8015-1","Star Wars","The Clone Wars",2009,"Assassin Droids Battle Pack",5,94,9.99,11.99,14.99,,5702014533226,673419111768,19.1,14.1,4.6,0.1,"",0,0,0,,0,0,,,,,,,,,32.5100,12.0200,"01/01/2009","31/12/2010"
"75167-1","Star Wars","The Freemaker Adventures",2017,"Bounty Hunter Speeder Bike Battle Pack",4,125,11.99,14.99,16.99,14.99,5702015866842,673419265645,19.1008,14.097,4.5974,0.1360776,"",0,0,0,,0,0,,,,,,,,,41.2300,30.0700,"01/06/2017","31/12/2018"
"7942-1","City","Fire",2007,"Off-Road Fire Rescue",1,131,9.99,9.99,12.99,,5702014498853,673419090865,24,14.4,4.8,0.19,"",0,0,0,,0,0,,,,,,,,,22.1800,5.1700,"",""
"21103-1","Ideas","Licensed",2013,"The DeLorean Time Machine",2,401,34.99,34.99,44.99,39.99,5702015064835,,26,18.8,6,,"",0,0,0,,0,0,,,,,,,,,132.9400,89.7900,"01/08/2013","31/12/2014"
"75040-1","Star Wars","Episode III",2014,"General Grievous' Wheel Bike",2,261,19.99,24.99,29.99,29.99,5702015121187,673419209380,26.1874,19.1008,4.5974,0.3,"",0,0,0,,0,0,,,,,,,,,99.6000,45.2300,"01/01/2014","31/12/2015"
"75320-1","Star Wars","Episode V",2022,"Snowtrooper Battle Pack",4,105,17.99,19.99,24.99,19.99,5702017155067,673419356701,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,15.7700,11.5900,"01/01/2022","31/12/2023"
"75187-1","Star Wars","Episode VIII",2017,"BB-8",1,1106,84.99,99.99,129.99,99.99,5702015869881,673419267601,35.4076,37.7952,9.398,1.342632,"",0,0,0,,0,0,,,,,,,,,155.0000,93.8700,"01/09/2017","31/07/2019"
"75034-1","Star Wars","Episode IV",2014,"Death Star Troopers",4,102,11.99,12.99,15.99,16.99,5702015121088,673419209281,19.1008,14.097,4.5974,0.11,"",0,0,0,,0,0,,,,,,,,,25.5700,15.5200,"01/01/2014","31/07/2015"
"75000-1","Star Wars","Episode II",2013,"Clone Troopers vs. Droidekas",4,124,11.99,12.99,15.99,,5702014974937,673419191579,15.7,14.1,4.5,0.14,"",0,0,0,,0,0,,,,,,,,,46.8600,25.2000,"01/01/2013","31/12/2014"
"75310-1","Star Wars","The Clone Wars",2021,"Duel on Mandalore",2,147,17.99,19.99,24.99,19.99,5702016914207,673419340960,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,32.0300,15.0900,"01/08/2021","31/12/2022"
"7929-1","Star Wars","Episode I",2011,"The Battle of Naboo",12,241,25.99,24.99,34.99,,5702014734289,673419144520,28.19,26.19,4.6,0.34,"",0,0,0,,0,0,,,,,,,,,101.9200,35.3200,"01/01/2011","31/12/2012"
"3177-1","City","Traffic",2010,"Small Car",1,43,3.99,4.99,6.99,,5702014601819,673419129473,12.19,9.09,5.84,0.06,"",0,0,0,,0,0,,,,,,,,,16.7300,5.4900,"01/01/2010","31/12/2012"
"75258-1","Star Wars","Episode I",2019,"Anakin's Podracer – 20th Anniversary Edition",3,279,24.99,29.99,39.99,29.23,5702016370713,673419304146,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,40.7100,32.8900,"01/04/2019","31/12/2020"
"10252-1","Creator Expert","Vehicles",2016,"Volkswagen Beetle",,1167,74.99,99.99,129.99,87.72,5702015591171,,48,28,7,,"",0,0,0,,0,0,,,,,,,,,122.4100,96.2300,"01/08/2016","31/12/2020"
"75300-1","Star Wars","Episode IV",2021,"Imperial TIE Fighter",3,432,39.99,44.99,59.99,44.99,5702016913606,673419340137,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,38.1700,28.1200,"01/01/2021","31/12/2023"
"75168-1","Star Wars","The Clone Wars",2017,"Yoda's Jedi Starfighter",2,262,19.99,24.99,29.99,29.99,5702015866859,673419265751,26.2128,19.1008,6.096,0.3492658,"",0,0,0,,0,0,,,,,,,,,46.2600,34.2900,"01/01/2017","31/12/2018"
"21321-1","Ideas","NASA",2020,"International Space Station",,864,59.99,69.99,99.99,69.99,5702016719062,673419325790,38.2,26.2,7.1,0.61,"",0,0,0,,0,0,,,,,,,,,77.9300,56.2300,"01/02/2020","31/12/2022"
